Geo ID,Geographic Area Name, Total population,Median age,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 29 years,Percent 30 to 34 years,Percent 35 to 39 years,Percent 40 to 44 years,Percent 45 to 49 years,Percent 50 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 69 years,Percent 70 to 74 years,Percent 75 to 79 years,Percent 80 to 84 years,Percent 85 years and over
8600000US92539,92539,4557,47,231,364,240,301,292,100,304,183,287,381,284,451,255,299,151,121,125,4.1,5.1,8,5.3,6.6,6.4,2.2,6.7,4,6.3,8.4,6.2,9.9,5.6,6.6,3.3,2.7,2.7
8600000US92543,92543,38314,35.2,3268,3186,2758,2256,2608,1860,2230,2133,1826,2063,1955,2537,1946,1582,1185,973,788,8.2,8.5,8.3,7.2,5.9,6.8,4.9,5.8,5.6,4.8,5.4,5.1,6.6,5.1,4.1,3.1,2.5,2.1
8600000US92544,92544,49923,35.9,3675,3782,3377,3389,3498,3116,2938,2825,2966,3314,3015,3186,2321,2024,1157,834,1009,7,7.4,7.6,6.8,6.8,7,6.2,5.9,5.7,5.9,6.6,6,6.4,4.6,4.1,2.3,1.7,2
8600000US92545,92545,41879,43.3,2950,2983,2807,2439,2036,2173,1869,2321,1764,1955,2294,2567,2947,2714,2311,1752,1810,5.2,7,7.1,6.7,5.8,4.9,5.2,4.5,5.5,4.2,4.7,5.5,6.1,7,6.5,5.5,4.2,4.3
8600000US92548,92548,7859,35.2,552,822,624,402,635,306,420,809,459,423,302,337,391,287,242,159,129,7.1,7,10.5,7.9,5.1,8.1,3.9,5.3,10.3,5.8,5.4,3.8,4.3,5,3.7,3.1,2,1.6
8600000US92549,92549,2517,56,29,94,233,94,103,68,53,139,139,162,379,296,243,237,118,46,28,2.2,1.2,3.7,9.3,3.7,4.1,2.7,2.1,5.5,5.5,6.4,15.1,11.8,9.7,9.4,4.7,1.8,1.1
8600000US92551,92551,34011,30.3,2539,3103,2582,3038,2946,2740,2164,2531,2123,1945,1572,1406,1117,704,585,259,116,7.5,7.5,9.1,7.6,8.9,8.7,8.1,6.4,7.4,6.2,5.7,4.6,4.1,3.3,2.1,1.7,0.8,0.3
8600000US92553,92553,76102,28.8,6126,6798,6945,7236,6412,5538,5206,5028,4514,4090,3946,3128,2219,1225,925,569,567,7.4,8,8.9,9.1,9.5,8.4,7.3,6.8,6.6,5.9,5.4,5.2,4.1,2.9,1.6,1.2,0.7,0.7
8600000US92555,92555,44452,32.5,3402,3349,3628,3749,3366,3153,3420,2783,3452,2762,2365,1930,1901,908,705,297,276,6.8,7.7,7.5,8.2,8.4,7.6,7.1,7.7,6.3,7.8,6.2,5.3,4.3,4.3,2,1.6,0.7,0.6
8600000US92557,92557,53406,32.4,3780,4094,3430,4901,4275,5074,3044,3040,3051,3571,3361,2536,2428,1185,968,488,455,7,7.1,7.7,6.4,9.2,8,9.5,5.7,5.7,5.7,6.7,6.3,4.7,4.5,2.2,1.8,0.9,0.9
