id,Geographic Area Name,Total,Median income,Mean income
8600000US92270,ZCTA5 92270,9290,113390,166812
8600000US92273,ZCTA5 92273,504,29223,38689
8600000US92274,ZCTA5 92274,5036,34830,46008
8600000US92275,ZCTA5 92275,945,49451,60377
8600000US92276,ZCTA5 92276,2584,57089,69019
8600000US92277,ZCTA5 92277,8911,44702,59394
8600000US92278,ZCTA5 92278,370,51818,71024
8600000US92280,ZCTA5 92280,0,-,-
8600000US92281,ZCTA5 92281,692,48587,55913
8600000US92282,ZCTA5 92282,454,38343,44199
8600000US92283,ZCTA5 92283,512,30714,45772
8600000US92284,ZCTA5 92284,10573,56659,71878
8600000US92285,ZCTA5 92285,1078,34282,40909
8600000US92301,ZCTA5 92301,7956,44955,56305
8600000US92304,ZCTA5 92304,13,-,-
8600000US92305,ZCTA5 92305,251,87321,93194
8600000US92307,ZCTA5 92307,12772,66592,89382
8600000US92308,ZCTA5 92308,14125,57344,75611
8600000US92309,ZCTA5 92309,201,38750,57831
8600000US92310,ZCTA5 92310,2708,52779,60093
8600000US92311,ZCTA5 92311,11429,47653,63195
8600000US92313,ZCTA5 92313,4377,78333,95516
8600000US92314,ZCTA5 92314,4418,58423,70948
8600000US92315,ZCTA5 92315,2243,62468,92911
8600000US92316,ZCTA5 92316,7505,63616,71444
8600000US92320,ZCTA5 92320,3205,74237,90380
8600000US92321,ZCTA5 92321,414,45694,65930
8600000US92322,ZCTA5 92322,331,-,94432
8600000US92324,ZCTA5 92324,18325,60206,71617
8600000US92325,ZCTA5 92325,3154,80194,88276
8600000US92327,ZCTA5 92327,288,37974,43433
8600000US92328,ZCTA5 92328,230,86250,92139
8600000US92332,ZCTA5 92332,44,-,N
8600000US92333,ZCTA5 92333,211,-,84032
8600000US92335,ZCTA5 92335,25098,53674,62626
8600000US92336,ZCTA5 92336,25079,95895,108680
8600000US92337,ZCTA5 92337,10022,86782,94151
8600000US92338,ZCTA5 92338,0,-,-
8600000US92339,ZCTA5 92339,413,77422,90220
8600000US92341,ZCTA5 92341,116,39875,56611
8600000US92342,ZCTA5 92342,2598,77391,81746
8600000US92344,ZCTA5 92344,6003,83033,103261
8600000US92345,ZCTA5 92345,23946,54272,65998
8600000US92346,ZCTA5 92346,17747,76228,96454
8600000US92347,ZCTA5 92347,288,46208,44462
8600000US92352,ZCTA5 92352,2181,92414,124527
8600000US92354,ZCTA5 92354,8037,69900,85414
8600000US92356,ZCTA5 92356,2343,33398,47555
8600000US92358,ZCTA5 92358,384,53125,63970
8600000US92359,ZCTA5 92359,3097,78821,91370
8600000US92363,ZCTA5 92363,2188,49140,57942
8600000US92364,ZCTA5 92364,6,-,-
8600000US92365,ZCTA5 92365,1082,68158,66853
8600000US92368,ZCTA5 92368,290,34276,64319
8600000US92371,ZCTA5 92371,5268,59806,75199
8600000US92372,ZCTA5 92372,2077,76995,86758
8600000US92373,ZCTA5 92373,12712,97460,132574
8600000US92374,ZCTA5 92374,13921,80173,105451
8600000US92376,ZCTA5 92376,21415,59651,69782
8600000US92377,ZCTA5 92377,5530,90435,99337
8600000US92378,ZCTA5 92378,94,65625,70895
8600000US92382,ZCTA5 92382,1716,71055,84579
8600000US92384,ZCTA5 92384,13,-,-
8600000US92385,ZCTA5 92385,88,52788,53649
8600000US92386,ZCTA5 92386,1000,43188,63545
8600000US92389,ZCTA5 92389,102,60625,70754
8600000US92391,ZCTA5 92391,809,48879,64088
8600000US92392,ZCTA5 92392,15880,65429,79771
8600000US92394,ZCTA5 92394,8120,62783,71907
8600000US92395,ZCTA5 92395,13446,57134,73291
8600000US92397,ZCTA5 92397,1792,73804,108193
8600000US92398,ZCTA5 92398,676,84113,85869
8600000US92399,ZCTA5 92399,18447,84908,104468
8600000US92401,ZCTA5 92401,762,35750,53493
8600000US92404,ZCTA5 92404,17848,48542,61169
8600000US92405,ZCTA5 92405,8739,42850,51601
8600000US92407,ZCTA5 92407,17408,72169,86988
8600000US92408,ZCTA5 92408,3640,50372,55835
8600000US92410,ZCTA5 92410,12659,40970,50927
8600000US92411,ZCTA5 92411,6428,42480,57444
8600000US92501,ZCTA5 92501,6699,72668,86265
8600000US92503,ZCTA5 92503,25056,78584,93345
8600000US92504,ZCTA5 92504,16569,72913,88806
8600000US92505,ZCTA5 92505,13700,74934,88594
8600000US92506,ZCTA5 92506,14692,104552,131785
8600000US92507,ZCTA5 92507,17046,55579,73779
8600000US92508,ZCTA5 92508,10010,117856,129643
8600000US92509,ZCTA5 92509,18735,70356,82933
8600000US92518,ZCTA5 92518,483,77202,76684
8600000US92530,ZCTA5 92530,15466,62339,74509
